登録NO,枝番,レベル,英単語,品詞,意味(日本語),意味(英語),例文(英語),例文(日本語),解説,通算チェック回数,最終チェック日時
E01138,1,1,mother,名詞,母,a female parent,My mother taught me to be careful.,母から慎重にするよう教わった。,father と対で覚える。,0,
E01139,1,1,area,名詞,地域、範囲、面積,a part of a place or subject,This area of the code needs work.,コードのこの範囲は手を入れる必要がある。,発音は「エリア」でなく「エアリア」に近い。,0,
E01140,1,1,money,名詞,お金,coins and notes,The tool saves both time and money.,その道具は時間もお金も節約する。,数えられない名詞。× moneys。,0,
E01141,1,1,story,名詞,話、物語,an account of events,That is a long story.,それは長い話になる。,英国式では「階」の意味は storey。,0,
E01142,1,1,fact,名詞,事実,something that is true,"In fact, the file was never saved.",実のところ、そのファイルは保存されていなかった。,in fact は「実は」で話の切り返しに使う。,0,
E01143,1,1,month,名詞,月（暦の）,one of the twelve parts of a year,We check it every month.,毎月それを確かめている。,発音の th に注意。複数は months。,0,
E01144,1,1,lot,名詞,たくさん,a large amount,There is a lot of work left.,残りの仕事がたくさんある。,a lot of は数えられる名詞にも使える。,0,
E01145,1,1,study,名詞,勉強、研究,the act of learning,The study took six months.,その調査には半年かかった。,動詞では「勉強する」。,0,
E01146,1,1,book,名詞,本,a set of printed pages,This book explains it well.,この本はそれをうまく説明している。,動詞では「予約する」。,0,
E01147,1,1,eye,名詞,目,the organ you see with,Keep an eye on the log file.,ログファイルを見ておいてください。,keep an eye on は「注意して見ておく」。,0,
E01148,1,1,job,名詞,仕事、職,the work someone does for money,The job takes about two hours.,その作業には2時間ほどかかる。,IT では「処理の単位」も job。,0,
E01149,1,1,word,名詞,語、言葉,a unit of language,I do not know this word.,この単語は知らない。,in other words は「言い換えると」。,0,
E01150,1,1,business,名詞,商売、業務,trade and work,This is a business decision.,これは経営上の判断だ。,数えられない名詞（会社の意味では数えられる）。,0,
E01151,1,1,issue,名詞,問題、課題,an important topic or problem,We found three issues in the test.,テストで問題が3件見つかった。,problem より中立的で、仕事の場面ではこちらが好まれる。,0,
E01152,1,1,side,名詞,側、面,one of the two parts of something,Look at it from the user side.,使う人の側から見てみて。,on the other side は「反対側に」。,0,
E01153,1,1,head,名詞,頭、長,"the top part of the body, or a leader",She is the head of the team.,彼女はそのチームの長だ。,動詞では「向かう」（head for）。,0,
E01154,1,1,house,名詞,家,a building where people live,We built the tool in house.,その道具は自社で作った。,in-house は「社内で」という決まり文句。,0,
E01155,1,1,service,名詞,サービス、業務,work done for others,The service starts at eight.,そのサービスは8時に始まる。,Windows の「サービス」も同じ語。,0,
E01156,1,1,friend,名詞,友人,a person you like and know well,A friend told me about this tool.,友人からこの道具のことを聞いた。,make friends with は「友達になる」。,0,
E01157,1,1,father,名詞,父,a male parent,My father worked at a factory.,父は工場で働いていた。,mother と対で覚える。,0,
E01158,1,1,power,名詞,力、電力、権限,"strength, energy, or authority",Check the power cable first.,まず電源ケーブルを確かめて。,power supply（電源）、power user（上級者）。,0,
E01159,1,1,hour,名詞,時間（1時間）,sixty minutes,The build takes half an hour.,ビルドに30分かかる。,h を発音しないので an hour。,0,
E01160,1,1,game,名詞,試合、ゲーム,an activity with rules,It is a numbers game in the end.,結局は数の勝負だ。,「試合」も「遊び」も game。,0,
E01161,1,1,line,名詞,線、行、列,"a long thin mark, or a row",The error is on line 42.,エラーは42行目にある。,in line は「並んで」。,0,
E01162,1,1,end,名詞,終わり、端,the last part,"At the end of the day, it works.",結局のところ、それは動く。,at the end of the day は「結局は」。,0,
E01163,1,1,member,名詞,一員、会員,a person in a group,Every member has a copy.,全員が写しを持っている。,membership は「会員であること」。,0,
E01164,1,1,law,名詞,法律、法則,a rule made by a government,The law changed this April.,その法律は今年の4月に変わった。,lawyer は「弁護士」。,0,
E01165,1,1,car,名詞,車,a vehicle with four wheels,I go by car when it rains.,雨のときは車で行く。,by car に a は付けない。,0,
E01166,1,1,city,名詞,市、都市,a large town,The office moved to another city.,事務所は別の市へ移った。,複数は cities。,0,
E01167,1,1,community,名詞,地域社会、共同体,a group of people living in one place,There is a large user community.,利用者の集まりが大きい。,IT では「利用者の集まり」の意味でよく使う。,0,
E01168,1,1,name,名詞,名前,what someone or something is called,Give the file a clear name.,そのファイルに分かりやすい名前を付けて。,動詞では「名づける」。,0,
E01169,1,1,president,名詞,大統領、社長,the leader of a country or company,The president signed the order.,社長がその注文書に署名した。,会社では「社長」の意味になる。,0,
E01170,1,1,team,名詞,チーム、班,a group working together,Our team has five members.,うちのチームは5人だ。,英国では複数扱いになることもある。,0,
E01171,1,1,minute,名詞,分,sixty seconds,Give me five minutes.,5分ください。,複数形の minutes は「議事録」の意味にもなる。,0,
E01172,1,1,idea,名詞,考え、着想,a thought or plan,That is a good idea.,それはよい考えだ。,have no idea は「まったく分からない」。,0,
E01173,1,1,kid,名詞,子ども,a child,The app is easy enough for kids.,そのアプリは子どもでも使えるくらい簡単だ。,くだけた言い方。動詞では「からかう」。,0,
E01174,1,1,body,名詞,体、本体,the physical structure of a person,The body of the mail was empty.,メールの本文は空だった。,文章の「本文」も body。,0,
E01175,1,1,information,名詞,情報,facts about something,We need more information.,もっと情報が要る。,数えられない名詞。× informations。,0,
E01176,1,1,level,名詞,水準、段階,a position on a scale,The error level is set to warning.,エラーの水準は警告になっている。,この単語帳の Lv. もこの語。,0,
E01177,1,1,office,名詞,事務所、会社,a place where people work,I will be in the office all day.,一日じゅう事務所にいます。,at the office（勤務先で）。,0,
